Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
34.5,36.0,0.59116648054128,2.25,-2.25
34.5,36.25,0.42600130147436,2.25,0.0
34.5,36.5,0.49730861449943,2.25,0.0
34.5,36.75,0.5750477758439,2.25,2.25
34.5,37.0,0.35370026885864,4.5,4.5
34.5,37.25,0.34080359104877,4.5,6.75
34.5,37.5,0.43656764518881,4.5,11.25
34.5,37.75,0.28751074153947,6.75,15.75
34.5,38.0,0.37083484372806,6.75,20.25
34.5,38.25,0.62796480332516,9.0,24.75
34.5,38.5,0.2675425744184,9.0,29.25
34.5,38.75,0.48755523343356,9.0,29.25
34.75,31.25,0.65047482433367,2.25,-31.5
34.75,31.5,0.50375453165888,0.0,-31.5
34.75,31.75,0.45690803099997,0.0,-27.0
34.75,32.0,0.85908981246272,0.0,-22.5
34.75,32.25,0.56549277716334,2.25,-15.75
34.75,32.5,0.49449559641043,2.25,-11.25
34.75,32.75,0.62542700169741,2.25,-9.0
34.75,33.0,0.38430509047713,2.25,-4.5
34.75,33.25,0.37182465570687,2.25,-2.25
34.75,33.5,0.54701941936782,2.25,-2.25
34.75,33.75,0.1369191623107,2.25,0.0
34.75,34.0,0.23542954346674,2.25,0.0
34.75,34.25,0.33123561244496,2.25,0.0
34.75,34.5,0.22468057217754,2.25,0.0
34.75,34.75,0.16533791697074,2.25,0.0
34.75,35.0,0.33887582209835,2.25,0.0
34.75,35.25,0.57316758827449,2.25,0.0
34.75,35.5,0.57580787307923,2.25,-2.25
34.75,35.75,0.51605705943609,2.25,-2.25
34.75,36.0,0.56380377228304,2.25,-2.25
34.75,36.25,0.45448335085537,2.25,0.0
34.75,36.5,0.17947510855856,2.25,0.0
34.75,36.75,0.2650485453553,2.25,2.25
34.75,37.0,0.4575114230427,2.25,4.5
34.75,37.25,0.64359073722188,4.5,6.75
34.75,37.5,0.36430065028567,4.5,11.25
34.75,37.75,0.3271991275759,4.5,15.75
34.75,38.0,0.57333567881056,4.5,20.25
34.75,38.25,0.44644467111624,6.75,24.75
34.75,38.5,0.14980016991599,6.75,29.25
34.75,38.75,0.20953855058433,6.75,29.25
35.0,31.0,0.7558086040089,-2.25,-20.25
35.0,31.25,0.4189122388158,-2.25,-31.5
35.0,31.5,0.44065714321639,-2.25,-31.5
35.0,31.75,0.57809765935538,-2.25,-27.0
35.0,32.0,0.67017089830073,0.0,-20.25
35.0,32.25,0.24584825727522,0.0,-15.75
35.0,32.5,0.36577636230846,0.0,-11.25
